minute,boiler1_flowrate,boiler1_supply_temp,radiator_return_temp,boiler2_flowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_actuatorSignal,boiler2_actuatorSignal,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,t
2950,-0.00014493793,326.32068,310.8811,-0.0001449414,325.71558,5.5051346,-2.1422057,289.49002,273.15,327.4969,0.00028987933,326.22128,325.58575,0.9999757,1.0,0.6065036,0.30196047,9097.554,6794.111,325.15,325.15,177030.08
2951,-0.00014362644,325.8289,311.45477,-0.00014362989,325.3375,2.3159156,0.025817053,289.53812,273.15,326.76862,0.00028725635,325.82208,325.35437,0.9999757,1.0,0.6656727,0.43954867,9985.091,9889.846,325.15,325.15,177089.56
2952,-0.0001426552,325.60205,311.9707,-0.00014265862,325.29715,1.4289571,0.7820577,289.5864,273.15,326.1648,0.00028531384,325.58936,325.29532,0.9999757,1.0,0.6806093,0.49242455,10209.14,11079.553,325.15,325.15,177149.27
2953,-0.00014223947,325.49457,312.41168,-0.00014224289,325.35727,1.2063204,0.9800193,289.63422,273.15,325.80872,0.00028448235,325.48706,325.35944,0.9999757,1.0,0.5756223,0.35390913,8634.334,7962.955,325.15,325.15,177209.17
2954,-0.00014199426,325.3651,312.76974,-0.00014199766,325.30997,1.147383,1.0274314,289.68152,273.15,325.56033,0.00028399192,325.36942,325.32333,0.9999757,1.0,0.63292176,0.45466873,9493.826,10230.046,325.15,325.15,177269.64
2955,-0.00014186604,324.12823,313.0385,-0.00014186944,324.37787,1.1314024,1.0375388,289.72775,273.15,325.42114,0.00028373548,323.99533,324.26547,0.9999757,1.0,0.30962807,0.17741935,4644.421,3991.9355,323.15,323.15,177330.3
2956,-0.00014179859,323.35883,313.21802,-0.000141802,323.6918,1.1267473,1.039109,289.7718,273.15,324.97906,0.0002836006,323.3682,323.71042,0.9999757,1.0,0.47961113,0.34375,7194.1665,7734.375,323.15,323.15,177389.94
2957,-0.00014176236,323.35858,313.3216,-0.00014176576,323.8261,1.1251574,1.0390412,289.8143,273.15,324.16653,0.00028352812,323.35437,323.833,0.9999757,1.0,0.45363697,0.328125,6804.5547,7382.8125,323.15,323.15,177449.62
2958,-0.00014174302,323.33945,313.3599,-0.00014174641,324.00336,1.1245252,1.0387878,289.8548,273.15,323.74457,0.00028348944,323.32602,324.00336,0.9999757,1.0,0.44156426,0.328125,6623.464,7382.8125,323.15,323.15,177509.25
2959,-0.0001417326,323.31476,313.34335,-0.000141736,324.2302,1.1242372,1.0385994,289.89343,273.15,323.66125,0.0002834686,323.3216,324.25714,0.9999757,1.0,0.5416993,0.46153846,8125.4893,10384.615,323.15,323.15,177569.17
