Date/Time,LIVING ZONE:Zone Combined Outdoor Air Sensible Heat Loss Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Combined Outdoor Air Current Density Volume Flow Rate [m3/s](TimeStep:REPORTSCH),LIVING ZONE:Zone Combined Outdoor Air Mass [kg](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),ACDXCOIL 1:Cooling Coil Total Cooling Energy [J](TimeStep:REPORTSCH),HEAT PUMP DX HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),SUPP HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Cycling Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Level [](TimeStep) 
 07/21  16:00:00,0.0,0.04128020944069802,9.412853864896869,0.0,4023598.851944829,26.600395333963874,0.0,0.0,35.86801572070719,0.0,0.0,46.633581367201664,4331742.298609168,0.0,0.0,0.7111186325580382,0.0,1.0000000000000009 
 07/21  16:10:00,0.0,0.041298889755686505,9.417277013910399,0.0,4052635.3739528456,26.600389806088806,0.0,0.0,35.79565129809051,0.0,0.0,45.83905880154212,4361850.631182107,0.0,0.0,0.7152540315483961,0.0,1.0 
 07/21  16:20:00,0.0,0.041317637754439134,9.421704407186438,0.0,4071979.366804258,26.600391468573594,0.0,0.0,35.720338002878165,0.0,0.0,45.12761748579845,4380704.931387422,0.0,0.0,0.7175679439084743,0.0,0.9999999999999996 
 07/21  16:30:00,0.0,0.04133643546686361,9.426135944243663,0.0,4090001.5525802253,26.60038814319205,0.0,0.0,35.64995962998984,0.0,0.0,44.396075623438044,4398390.604813671,0.0,0.0,0.7196761974154707,0.0,0.9999999999999996 
 07/21  16:40:00,0.0,0.04135528084961016,9.43057166050901,0.0,4103848.3989178063,26.600386839891534,0.0,0.0,35.58817049132609,0.0,0.0,43.636699319461286,4411822.240830345,0.0,0.0,0.7210767428321335,0.0,1.0000000000000009 
 07/21  16:50:00,0.0,0.04137417299940328,9.435011546270202,0.0,4111267.607438553,26.60038766614725,0.0,0.0,35.52605621414468,0.0,0.0,42.855940854772086,4418572.706221764,0.0,0.0,0.7213761386333121,0.0,1.0000000000000009 
 07/21  17:00:00,0.0,0.04139311249721388,9.439455528299785,0.0,4111328.884233183,26.600390900359834,0.0,0.0,35.45812698803462,0.0,0.0,42.05795133268295,4417653.619771181,0.0,0.0,0.7204165837189901,0.0,1.0000000000000009 
 07/21  17:10:00,0.0,0.04141697201050816,9.445016538364667,0.0,4101702.918605213,26.60039565999486,0.0,0.0,35.37699925290006,0.0,0.0,41.207995837694526,4407384.29795471,0.0,0.0,0.717688975531915,0.0,1.0 
 07/21  17:20:00,0.0,0.041440874134377685,9.450583986484576,0.0,4081959.5879317424,26.600404244424997,0.0,0.0,35.28777342557676,0.0,0.0,40.323565320524814,4386376.4755012635,0.0,0.0,0.7132205842734836,0.0,0.9999999999999996 
 07/21  17:30:00,0.0,0.05525298481389752,9.456158016184268,0.0,4050611.6152933524,26.60032127596582,0.0,0.0,35.22482733555347,0.0,0.0,39.661235449760014,4354167.046518753,0.0,0.0,0.7069021277008508,0.0,1.0 
