minute,boiler1_flowrate,boiler1_supply_temp,radiator_return_temp,boiler2_flowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_actuatorSignal,boiler2_actuatorSignal,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
2931,-4.123934e-06,304.9775,309.11505,-0.00027928478,322.88806,3.7395728,3.5752463,288.89642,273.15,321.43372,0.00028340874,305.05157,322.91287,0.014573832,1.0,0.0,1.0,0.0,5316.593,337.59445,337.59445,-91004.32,175889.5,14663.111997723632,-71.66440491227777,16155.687031422873,0.0,5316.593,7.3148193,16084.022626510596,5316.593,5323.9077,-5.3635864
2932,-4.1241433e-06,305.01187,309.65723,-0.00027929895,323.5622,3.739689,3.576243,288.89316,273.15,322.04834,0.0002834231,305.1061,323.58603,0.014573832,1.0,0.0,1.0,0.0,5316.593,337.59445,337.59445,-91013.55,175949.5,14750.097163437204,-80.4640643978588,16311.301005757528,0.0,5316.593,7.3159323,16230.83694135967,5316.593,5323.9087,-5.366852
2933,-4.056787e-06,305.05353,310.09885,-0.00027473745,324.20187,9.982114,-1.5280186,288.89148,273.15,322.70306,0.00027879424,305.16602,324.22784,0.014573832,1.0,0.0,1.0,0.0,5316.593,337.59445,337.59445,-88119.08,176008.86,14758.729413620664,-85.96468869644103,16273.445201878189,0.0,5316.593,8.454095,16187.480513181748,5316.593,5325.047,-5.3685303
2934,-1.899172e-05,305.13416,310.41046,-0.00025070584,325.19675,57.027313,-13.701679,288.8913,273.15,323.4375,0.00026969757,305.2675,325.24188,0.07342494,1.0,0.0,1.0,0.0,5316.593,337.59445,337.59445,-73816.76,176069.45,14756.11481027883,-420.8657225545309,15569.433901464969,0.0,5316.593,43.325634,15148.568178910438,5316.593,5359.9185,-5.3687134
2935,-0.00014086298,306.29868,310.8713,-0.00022216828,326.22394,15.212407,-0.5055643,288.89288,273.15,323.21515,0.00036303126,306.4425,326.30072,0.66220826,1.0,0.0,1.0,0.0,5316.593,337.59445,337.59445,-63008.547,176129.22,18821.041308434338,-2705.2810193488594,14325.643704413693,0.0,5316.593,14.706842,11620.362685064832,5316.593,5331.3,-5.3671265
2936,-0.00013904521,308.1459,311.29086,-0.00014213295,328.90802,2.4194221,-0.0014473378,288.89685,273.15,320.57422,0.00028117816,308.30716,329.14886,0.9786423,1.0,0.17460318,1.0,3354.5276,5316.593,337.59445,337.59445,-26509.26,176189.52,10963.162873433419,-1836.6239268342356,10516.709721423646,3354.5276,5316.593,2.4179747,8680.08579458941,8671.12,8673.538,-5.363159
2937,-0.00014574117,313.61917,311.55316,-0.00014585102,331.92194,2.589315,-1.8243767e-05,288.90073,273.15,319.2601,0.00029159218,314.1539,332.10095,0.9992328,1.0,1.0,1.0,19212.295,5316.593,337.59445,337.59445,-27963.988,176248.88,9438.590045219364,1264.6311159605793,12477.38768174358,19212.295,5316.593,2.5892966,13742.018797704159,24528.887,24531.477,-5.3592834
2938,-0.00014358936,319.97406,311.81024,-0.00014359337,334.22382,2.470744,-3.0406977e-07,288.90387,273.15,321.33255,0.00028718272,320.33636,334.3712,0.99997187,1.0,1.0,1.0,19212.295,5316.593,337.59445,337.59445,-27107.336,176309.02,11485.497989401416,4923.39746183319,13517.450413108634,19212.295,5316.593,2.4707437,18440.847874941825,24528.887,24531.357,-5.35614
2939,-0.0001426427,324.27402,311.99338,-0.00014264516,336.14886,2.4219062,-4.615605e-09,288.90714,273.15,325.06555,0.00028528785,324.5217,336.271,0.99998254,1.0,1.0,1.0,19212.295,5316.593,337.59445,337.59445,-26749.832,176369.5,15663.196413638048,7357.323330167275,14471.786292841582,19212.295,5316.593,2.4219062,21829.10962300886,24528.887,24531.309,-5.3528748
2940,-0.00014226435,327.1906,312.1023,-0.00014226681,337.71133,2.4026904,-6.589809e-11,288.91214,273.15,328.3811,0.00028453115,327.36124,337.8114,0.99998254,1.0,1.0,1.0,19212.295,5316.593,337.59445,337.59445,-26608.146,176429.62,19453.678400805074,9015.425170702685,15301.928989934499,19212.295,5316.593,2.4026904,24317.354160637184,24528.887,24531.29,-5.34787
