DATETIME,Environment:Outdoor Dry Bulb [C], TOTAL POWER[KW],DR Event,Power prediction
 01/04  11:30:00,7.55,212.63658,0,213.27325
 01/04  11:45:00,8.025,213.27325,0,214.60859
 01/04  12:00:00,8.5,214.60859,0,218.82522
 01/04  12:15:00,8.9,218.82522,0,220.94081
 01/04  12:30:00,9.3,220.94081,0,222.99098
 01/04  12:45:00,9.7,222.99098,0,225.0235
 01/04  13:00:00,10.1,225.0235,0,227.41918
 01/04  13:15:00,9.925,227.41918,0,229.31787
 01/04  13:30:00,9.75,229.31787,0,230.86786
 01/04  13:45:00,9.575,230.86786,0,231.54731
 01/04  14:00:00,9.4,231.54731,0,225.79575
 01/04  14:15:00,9.275,225.79575,0,226.38613
 01/04  14:30:00,9.15,226.38613,0,225.80587
 01/04  14:45:00,9.025,225.80587,0,224.67929
 01/04  15:00:00,8.9,224.67929,0,210.86788
 01/04  15:15:00,8.7,210.86788,0,209.45609
 01/04  15:30:00,8.5,209.45609,0,207.53885
 01/04  15:45:00,8.3,207.53885,0,205.46765
 01/04  16:00:00,8.1,205.46765,0,164.38519
 01/04  16:15:00,7.925,164.38519,0,162.10148
 01/04  16:30:00,7.75,162.10148,0,160.73644
 01/04  16:45:00,7.575,160.73644,0,159.40086
 01/04  17:00:00,7.4,159.40086,0,120.11431
 01/04  17:15:00,7.25,120.11431,0,119.66574
 01/04  17:30:00,7.1,119.66574,0,119.36574
 01/04  17:45:00,6.95,119.36574,0,119.13309
 01/04  18:00:00,6.8,119.13309,0,67.58229
 01/04  18:15:00,6.625,67.58229,0,67.58229
 01/04  18:30:00,6.45,67.58229,0,67.58229
 01/04  18:45:00,6.275,67.58229,0,67.58229
 01/04  19:00:00,6.1,67.58229,0,56.31858
 01/04  19:15:00,6.1,56.31858,0,56.31858
 01/04  19:30:00,6.1,56.31858,0,56.31858
 01/04  19:45:00,6.1,56.31858,0,56.31858
 01/04  20:00:00,6.1,56.31858,0,56.31858
 01/04  20:15:00,6.1,56.31858,0,56.31858
 01/04  20:30:00,6.1,56.31858,0,56.31858
